"Bilateral Estimates of Migrant Stocks in 2013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Destination country (across)                                                              -                                                                                        Source country (down) ","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas, The","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cabo Verde","Cambodia","Cameroon","Canada","Cayman Islands","Central African Republic","Chad","Channel Islands","Chile","China","Colombia","Comoros","Congo, Dem. Rep.","Congo, Rep.","Costa Rica","Cote d'Ivoire","Croatia","Cuba","Curacao","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt, Arab Rep.","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Faeroe Islands","Fiji","Finland","France","French Polynesia","Gabon","Gambia, The","Georgia","Germany","Ghana","Greece","Greenland","Grenada","Guam","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hong Kong SAR, China","Hungary","Iceland","India","Indonesia","Iran, Islamic Rep.","Iraq","Ireland","Isle of Man","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea, Dem. Rep.","Korea, Rep.","Kosovo","Kuwait","Kyrgyz Republic","Lao PDR","Latvia","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Macao SAR, China","Macedonia, FYR","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Mauritania","Mauritius","Mexico","Micronesia, Fed. Sts.","Moldova","Monaco","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Northern Mariana Islands","Norway","Oman","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Romania","Russian Federation","Rwanda","Samoa","San Marino","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Sint Maarten (Dutch part)","Slovak Republic","Slovenia","Solomon Islands","Somalia","South Africa","South Sudan","Spain","Sri Lanka","St. Kitts and Nevis","St. Lucia","St. Martin (French part)","St. Vincent and the Grenadines","Sudan","Suriname","Swaziland","Sweden","Switzerland","Syrian Arab Republic","Tajikistan","Tanzania","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","Uruguay","Uzbekistan","Vanuatu","Venezuela, RB","Vietnam","Virgin Islands (U.S.)","West Bank and Gaza","Yemen, Rep.","Zambia","Zimbabwe","Other North","Other South","World"
"Afghanistan","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","0.0","0.0","28411.0","8405.0","0.0","0.0","680.0","0.0","0.0","269.0","3841.0","0.0","0.0","4.0","0.0","1.0","0.0","0.0","58.0","0.0","314.0","0.0","0.0","0.0","0.0","0.0","42060.0","0.0","0.0","0.0","0.0","19.0","685.0","113.0","0.0","0.0","0.0","9.0","0.0","0.0","0.0","0.0","11.0","1107.0","11924.0","0.0","0.0","8.0","82.0","132.0","0.0","0.0","0.0","12.0","0.0","3.0","0.0","3295.0","4321.0","0.0","0.0","0.0","0.0","129023.0","0.0","309.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","847.0","10.0","8237.0","0.0","2299676.0","251.0","496.0","0.0","2584.0","4006.0","0.0","0.0","55.0","0.0","241.0","0.0","0.0","0.0","0.0","1889.0","0.0","0.0","31.0","0.0","0.0","0.0","315.0","0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","2.0","0.0","13.0","0.0","103.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","33589.0","0.0","2445.0","32.0","0.0","0.0","0.0","12673.0","0.0","2326275.0","0.0","7.0","0.0","0.0","7.0","1228.0","152.0","9.0","3.0","1491.0","9.0","4934.0","0.0","0.0","0.0","0.0","500000.0","0.0","0.0","0.0","0.0","0.0","0.0","135.0","14.0","0.0","0.0","48.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","25144.0","4544.0","1791.0","7704.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","16000.0","0.0","0.0","0.0","0.0","1111.0","7377.0","61438.0","69709.0","0.0","433.0","1.0","14.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5632196.0"
"Albania","0.0","0.0","0.0","0.0","0.0","0.0","0.0","77.0","0.0","4.0","3063.0","3068.0","0.0","0.0","0.0","0.0","0.0","0.0","5889.0","0.0","0.0","3.0","0.0","0.0","12.0","0.0","0.0","0.0","1195.0","0.0","0.0","0.0","0.0","0.0","12648.0","0.0","0.0","0.0","0.0","31.0","0.0","48.0","0.0","0.0","0.0","7.0","0.0","0.0","114.0","0.0","327.0","647.0","312.0","0.0","0.0","29.0","106.0","124.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","236.0","6397.0","0.0","0.0","0.0","0.0","42102.0","0.0","574840.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","206.0","39.0","0.0","0.0","0.0","0.0","774.0","0.0","0.0","449657.0","0.0","0.0","9.0","0.0","68.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","295.0","0.0","15.0","318.0","0.0","25400.0","0.0","0.0","0.0","0.0","0.0","106.0","0.0","0.0","0.0","13.0","0.0","0.0","0.0","0.0","19775.0","0.0","0.0","0.0","0.0","0.0","1006.0","0.0","0.0","2.0","0.0","0.0","0.0","753.0","0.0","0.0","0.0","10.0","0.0","0.0","8.0","118.0","135.0","52.0","0.0","0.0","755.0","228.0","0.0","0.0","33.0","0.0","0.0","0.0","463.0","0.0","0.0","0.0","0.0","63.0","252.0","0.0","0.0","83.0","0.0","1931.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1823.0","1979.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4906.0","0.0","0.0","0.0","0.0","132.0","0.0","16711.0","84665.0","0.0","0.0","0.0","15.0","102.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1264185.0"
"Algeria","0.0","0.0","0.0","0.0","0.0","0.0","0.0","210.0","0.0","3.0","1392.0","1258.0","0.0","0.0","0.0","0.0","0.0","0.0","25000.0","0.0","0.0","10.0","0.0","2.0","0.0","0.0","186.0","0.0","406.0","0.0","0.0","0.0","0.0","0.0","38088.0","0.0","0.0","0.0","0.0","55.0","554.0","25.0","0.0","0.0","0.0","12.0","0.0","0.0","49.0","0.0","42.0","1380.0","928.0","0.0","0.0","88.0","71.0","1478.0","1.0","0.0","0.0","13.0","0.0","3.0","0.0","816.0","1455780.0","811.0","106.0","0.0","0.0","17655.0","15.0","453.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","745.0","30.0","0.0","0.0","0.0","0.0","1269.0","0.0","46477.0","24601.0","0.0","0.0","300.0","0.0","162.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.0","0.0","0.0","0.0","3520.0","0.0","12.0","107.0","0.0","0.0","2953.0","0.0","72.0","0.0","635.0","53.0","0.0","3505.0","0.0","112.0","0.0","0.0","30.0","0.0","0.0","17637.0","0.0","0.0","0.0","0.0","4046.0","787.0","0.0","59.0","475.0","0.0","0.0","1197.0","0.0","33.0","0.0","13.0","0.0","0.0","23.0","465.0","625.0","240.0","0.0","0.0","17.0","754.0","0.0","0.0","0.0","0.0","0.0","3222.0","0.0","0.0","0.0","0.0","0.0","68.0","54.0","61.0","0.0","230.0","0.0","58460.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2841.0","9455.0","0.0","110.0","0.0","0.0","0.0","0.0","0.0","0.0","11775.0","960.0","0.0","0.0","0.0","0.0","215.0","0.0","20889.0","17772.0","21.0","0.0","4.0","77.0","0.0","0.0","0.0","0.0","0.0","0.0","346.0","75.0","1784499.0"
"American Samoa","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","219.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","130.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1079.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","43.0","0.0","1812.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","3319.0"
"Andorra","0.0","0.0","0.0","0.0","0.0","0.0","0.0","47.0","0.0","0.0","22.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","11.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","40.0","0.0","0.0","0.0","0.0","11.0","0.0","45.0","0.0","0.0","0.0","4.0","0.0","0.0","7.0","0.0","0.0","32.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","700.0","0.0","0.0","0.0","0.0","0.0","0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","89.0","0.0","0.0","0.0","0.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","108.0","0.0","0.0","1.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","0.0","0.0","0.0","6.0","0.0","0.0","7.0","0.0","0.0","385.0","0.0","0.0","6.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","5591.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","55.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","111.0","11.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7398.0"
"Angola","0.0","0.0","0.0","0.0","0.0","0.0","0.0","81.0","0.0","0.0","546.0","333.0","0.0","0.0","0.0","0.0","0.0","0.0","3935.0","0.0","0.0","6.0","0.0","4.0","0.0","3236.0","6530.0","0.0","6.0","0.0","0.0","368.0","0.0","12.0","3722.0","0.0","101.0","0.0","0.0","69.0","248.0","52.0","0.0","145561.0","30592.0","4.0","0.0","0.0","102.0","0.0","0.0","418.0","155.0","0.0","0.0","25.0","64.0","39.0","5.0","0.0","344.0","3.0","0.0","0.0","0.0","436.0","17859.0","0.0","1055.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","86.0","37.0","0.0","0.0","0.0","0.0","1032.0","0.0","0.0","1837.0","0.0","0.0","0.0","0.0","3049.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.0","0.0","0.0","0.0","0.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","75.0","1.0","0.0","0.0","0.0","58.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17493.0","0.0","322.0","0.0","0.0","7.0","0.0","0.0","0.0","457.0","0.0","0.0","0.0","12.0","0.0","0.0","18.0","76.0","62.0","161395.0","0.0","0.0","1.0","494.0","0.0","0.0","0.0","681.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","18.0","4.0","0.0","0.0","38192.0","0.0","3706.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","95.0","737.0","6614.0","0.0","0.0","2417.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","0.0","0.0","0.0","0.0","58.0","0.0","12534.0","6245.0","13.0","0.0","0.0","153.0","441.0","0.0","0.0","0.0","44339.0","0.0","0.0","0.0","518711.0"
"Antigua and Barbuda","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","43.0","7.0","0.0","11.0","0.0","21264.0","305.0","0.0","0.0","0.0","0.0","33.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","2709.0","0.0","0.0","0.0","0.0","15.0","0.0","39.0","0.0","0.0","0.0","5.0","0.0","0.0","3.0","53.0","0.0","11.0","4.0","0.0","469.0","368.0","0.0","24.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","82.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","57.0","0.0","0.0","0.0","0.0","19.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","43.0","230.0","0.0","0.0","0.0","29.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","35.0","0.0","0.0","123.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","1.0","0.0","0.0","26.0","14.0","4.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","529.0","30.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","212.0","113.0","0.0","77.0","0.0","0.0","0.0","8.0","113.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","22806.0","0.0","0.0","0.0","2.0","1053.0","5251.0","0.0","0.0","0.0","0.0","481.0","115.0","56842.0"
"Argentina","0.0","0.0","0.0","0.0","708.0","0.0","0.0","0.0","0.0","71.0","14832.0","1485.0","0.0","94.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","28.0","0.0","36230.0","5.0","0.0","29456.0","0.0","124.0","0.0","0.0","4.0","0.0","0.0","22667.0","18.0","0.0","0.0","0.0","64900.0","1933.0","3115.0","0.0","0.0","0.0","2330.0","0.0","227.0","173.0","21.0","98.0","208.0","1191.0","0.0","0.0","3653.0","7867.0","77.0","214.0","0.0","0.0","13.0","0.0","8.0","0.0","359.0","12953.0","0.0","0.0","0.0","0.0","9507.0","0.0","570.0","0.0","0.0","0.0","528.0","0.0","0.0","0.0","928.0","137.0","0.0","354.0","33.0","0.0","0.0","0.0","0.0","715.0","0.0","40031.0","84532.0","0.0","4515.0","12.0","0.0","119.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19.0","0.0","0.0","0.0","0.0","0.0","79.0","42.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19.0","0.0","147.0","0.0","15746.0","0.0","0.0","49.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2982.0","0.0","1704.0","278.0","0.0","0.0","0.0","1024.0","0.0","0.0","0.0","2188.0","0.0","75919.0","13199.0","150.0","293.0","1365.0","1309.0","0.0","11.0","244.0","0.0","0.0","73.0","0.0","0.0","0.0","106.0","6.0","0.0","0.0","4.0","79.0","5060.0","0.0","0.0","2213.0","0.0","270100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3048.0","8729.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","209.0","0.0","0.0","0.0","0.0","500.0","0.0","16055.0","181766.0","26781.0","0.0","2.0","8107.0","115.0","0.0","0.0","0.0","0.0","0.0","55.0","0.0","986818.0"
"Armenia","0.0","0.0","0.0","0.0","0.0","0.0","0.0","939.0","0.0","0.0","1253.0","2975.0","3729.0","0.0","0.0","0.0","0.0","5762.0","6112.0","0.0","0.0","4.0","0.0","3.0","0.0","0.0","54.0","0.0","1551.0","0.0","0.0","0.0","0.0","0.0","2675.0","0.0","0.0","0.0","0.0","13.0","0.0","16.0","0.0","0.0","0.0","7.0","0.0","0.0","3.0","0.0","1383.0","4694.0","666.0","0.0","0.0","8.0","56.0","106.0","4.0","0.0","0.0","625.0","0.0","0.0","0.0","91.0","17598.0","0.0","0.0","0.0","2227.0","14048.0","0.0","7779.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","228.0","6.0","0.0","0.0","2469.0","0.0","142.0","0.0","0.0","1008.0","0.0","0.0","23.0","8416.0","11.0","0.0","0.0","0.0","0.0","0.0","2644.0","0.0","923.0","0.0","0.0","0.0","252.0","0.0","815.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","28.0","0.0","0.0","0.0","110.0","0.0","3103.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","782.0","0.0","0.0","0.0","0.0","0.0","0.0","288.0","0.0","0.0","0.0","7.0","0.0","0.0","1.0","136.0","2256.0","105.0","0.0","0.0","14.0","510640.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","117.0","11.0","0.0","0.0","0.0","0.0","10350.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2294.0","731.0","0.0","165.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1178.0","2609.0","0.0","0.0","0.0","49862.0","0.0","0.0","92671.0","60.0","16867.0","0.0","28.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","785740.0"
"Aruba","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","41.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","1.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","683.0","0.0","0.0","0.0","0.0","5.0","0.0","299.0","0.0","0.0","0.0","8.0","0.0","0.0","0.0","1674.0","0.0","0.0","5.0","0.0","43.0","456.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","87.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3489.0","0.0","0.0","0.0","0.0","0.0","0.0","16.0","0.0","0.0","0.0","15.0","0.0","0.0","0.0","64.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1273.0","0.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5455.0","2.0","0.0","0.0","396.0","0.0","579.0","0.0","0.0","0.0","0.0","2416.0","5.0","17097.0"
